# The English for the synopsis lines -- the rows あらすじモード prints when you
# pick an event you have already seen. Hand-written; this is the file to edit.
#
# Columns: the Japanese <TAB> the English.
#
# The Japanese column is filled in by scripts/extract_summary_lines.js, which
# reads archives/Rance10EX_v1_04/37_あらすじデータ.x and keeps whatever English is
# already here. A line left blank stays Japanese in game.
#
# Keyed by the Japanese rather than by event, because the same phrase serves
# many events -- 戦闘開始 opens 85 of them -- and should be translated once.
# The order is the order the game's own table has, which is the order the
# story happens in: a line reads differently once you have read the one above.
#
# One row fits about twenty full-width characters (１２３４５６７８９０１２３４５６７８９０),
# which is both the placeholder in Game/Adv/SceneSummary.pactex and the ruler
# the designers left in field ００ of the table. Nothing wraps, so a longer
# line runs off the panel; the scripts below report which ones do.
#
# Translating a chunk at a time: scripts/summary_chunk.js prints the next
# untranslated rows as a prompt, scripts/summary_merge.js reads the reply back
# in. Nothing applies this file to the game yet -- the English still has to be
# written into 37_あらすじデータ.x, which is what npm run regenerate-ex builds.
にぽぽ温泉旅館	Nipopo Hot Spring Inn
リアが魔物用の穴奴隷に改造される	Lia is made a hole slave for monsters
※エロＣＧ	※Erotic CG
ヘルマン地方	The Helman region
劣勢になった魔軍は民間人を狙った	The Monster Army turns on civilians
ダウンフォール作戦を実施	Operation Downfall begins
ヘルマン、ラングバウ	Helman, Rangbau
真田透琳が魔軍の作戦を逆手にとった	Tourin turns the Monster Army's plan
計画を立案	and drafts a counter-plan
フレイア達の活躍で魔軍を撹乱	Freya's unit disrupts the Monster Army
アミトス軍が出撃	The Amitos army sorties
ロレックス軍の活躍	The Rolex army distinguishes itself
アミトス軍の活躍	The Amitos army distinguishes itself
魔物大将軍ルメイは当初の作戦を固持する	LeMay sticks to the original plan
真田部隊の活躍	The Sanada unit distinguishes itself
シーラが闘将を起こして戦う	Sheila awakens her Tousho and fights
魔物大将軍ルメイの元に人破壊爆弾が届く	A human destruction bomb for LeMay
パットンとルメイの対決	Patton faces LeMay
ヘルマンを魔軍から解放した	Helman freed from the Monster Army
その頃、ヘルマンの村	Meanwhile, a village in Helman
魔人バボラに村が踏み潰された	Fiend Babolat tramples the village
ルーベラン、メリム　死亡	Ruberan, Merim - killed
その頃、ヘルマン　番裏の砦	Meanwhile, Fort Banura in Helman
番裏の砦で数ヶ月がんばったトルストイ	Tolstoy Bato held the fort for months
ついに魔軍に押し切られ全滅する	The Monster Army finally overruns them
ヘルマン共和国が滅亡した	The Republic of Helman has fallen
ルメイにより大屠殺が始まる	LeMay begins the great slaughter
シーラが無残な辱めを受ける	Sheila suffers a cruel humiliation
ゼス地方	The Zeth region
追い詰められて焦っているツォトン	Cornered, Zedong grows desperate
本国に援軍を要請している	Calling home for reinforcements
ハニー達にも要請しているが断られている	The Hannys are asked too, and refuse
マジックは自ら前線に立ちに国民を鼓舞	Magic goes to the front to rally them
ゼスを解放する滅号作戦を開始する	Operation Extermination to free Zeth
※要ガンジー　内容若干変化	※Needs Gandhi - slight changes
マジノラインを奪還に失敗するが	Retaking the Maginot Line fails
それはツォトンをおびきだす罠	but it was a trap to lure Zedong out
４つの塔を発動させてツォトンを閉じ込める	Four towers fire and seal Zedong in
※要ガンジー　　内容若干変化	※Needs Gandhi - slight changes
※要アレックス　内容若干変化	※Needs Alex - slight changes
※要パパイア　　内容若干変化	※Needs Papaya - slight changes
ウルザがツォトン倒す	Urza defeats Zedong
ゼスを魔軍から解放した	Zeth freed from the Monster Army
※要アイスフレーム三人娘 内容若干変化	※Needs the Ice Flame trio - changes
ゼス　永久牢	Zeth, the Eternal Prison
魔軍が侵入しカミーラを奪われる	The Monster Army takes Camilla
アレックス将軍死亡	General Alex is killed
ゼス　マジノライン	Zeth, the Maginot Line
魔軍の侵攻により陥落	It falls to the Monster Army's advance
パパイア、ネルソン　死亡	Papaya, Nelson - killed
ゼス王国が滅亡した	The Kingdom of Zeth has fallen
人類を無能な品種に改良する計画	A plan to breed humans down to fools
マジックがバカと交尾させられる	Magic is made to mate with an idiot
自由都市地方	The Free Cities region
政宗、黒部が率いる妖怪軍も加わり	Masamune and Kurobe's youkai join too
戦況は優勢になりつつあった	and the tide begins to turn
ピサロは宝物にまだ拘っている	Pizarro is still fixed on the treasure
魔軍主力でＭランドに総攻撃を行う	The Monster Army storms M-Land
それを見て篠田が反撃作戦を立案	Seeing it, Shinoda plans a counter
篠田が小数の部隊で魔軍を止める	Shinoda's few hold the Monster Army
各種妨害工作	Sabotage of every kind
篠田の各種いやがせ作戦で	Shinoda's endless harassment
さらに魔軍を疲弊させる	wears the Monster Army down further
篠田の危機にセシル参上	Cecil arrives as Shinoda falters
別働隊で魔軍本拠地を攻める	Striking the Monster Army's home base
カスタムの４魔女がピサロを倒す	Custom's four witches defeat Pizarro
自由都市を魔軍から解放した	Free Cities freed from the Monster Army
自由都市が滅亡した	The Free Cities have fallen
魔軍と自由都市軍の大決戦が行われるが	The Monster Army meets the Free Cities
裏切りにより自由都市軍は大壊滅	betrayal shatters the Free Cities army
その後、全て自由都市が占領される	and then every Free City is occupied
自由都市　マリルラ	Free Cities, Marilula
保身の為に早々と魔軍に降ったが都市だが	Surrendered early to the Monster Army
彼らは根こそぎ金銀を奪われた	but were stripped of all their gold
コパンドン、マリア達は魔物兵への	Copandon, Maria and the rest are
褒美としてオークションにかけられた	auctioned off as prizes for monsters
その頃、ＪＡＰＡＮ	Meanwhile, in JAPAN
魔軍に攻め滅ぼされた	destroyed by the Monster Army
天満橋が魔軍に落とされ…	Tenmabashi Bridge is taken...
政宗が倒され…	Masamune is struck down...
反乱も起きて…	a rebellion breaks out...
ランス達は敗北した	and Rance and the rest are defeated
川中島　ＡＬ教本部	Kawanakajima, the AL Church HQ
ロードリングは残って徹底抗戦	Lordring stays to fight to the last
少し前、勇者テオマン	A little earlier, the hero Theoman
魔軍の襲撃で村は壊滅	The Monster Army wipes out his village
恋人ニーナが殺され	his lover Nina is killed
テオマンは再び勇者となる	and Theoman becomes the hero again
その頃、勇者テオマン	Meanwhile, the hero Theoman
人類の危機を助けもせず見ているだけ	just watches as humanity is crushed
死者率３０％越え　逡巡モード発動	Death rate over 30%, Hesitation Mode
ランス城へ向かう	He heads for Rance Castle
ランス城に侵入して	He breaks into Rance Castle
魔人シルキィを殺す	and kills Fiend Silky
魔人ハウゼルを殺す	He kills Fiend Hawzel
※要サイゼル　内容若干変化	※Needs Seizel - slight changes
魔人サテラを負傷させる	He wounds Fiend Satella
死者率５０％越え　刹那モード発動	Death rate over 50%, Instant Mode
魔人ケイブリスを殺す	He kills Fiend Kayblis
魔王リトルプリンセスを殺す	He kills Demon King Little Princess
が・・どこかに新しい魔王が現れる	but a new Demon King rises somewhere
ＪＡＰＡＮ城、深夜	JAPAN Castle, late at night
死者率５０％越えテオマンが現れる	Theoman appears, death rate past 50%
早雲の必死の抵抗で地獄に落とすが…	Souun casts him into hell, but...
１ヶ月後…　再び彼は現れる	A month later... he appears again
ランス砦　ランス不在の時	Rance Fort, while Rance is away
健太郎と美樹を殺す	kills Kentarou and Miki
そこにランスが戻って来た	then Rance comes back
従者コーラが勇者の真実を告げる	Cola tells the truth about heroes
魔王はすぐに蘇ると	the Demon King is reborn at once
テオマンは呆然、そこをランスに殺される	Theoman is stunned; Rance kills him
クルックーが世界の秘密を語る	Crook tells the world's secret
この世界は創造神ルドラサウムの箱庭	This world is Rudrasaum's toy garden
※要アム　内容若干変化	※Needs Am - slight changes
※要セル　内容若干変化	※Needs Sel - slight changes
ランスは創造神討伐に出る	Rance sets out to slay the Creator
幾多の冒険を行う	Many adventures follow
その頃、世界はケイブリスの手に落ち	Meanwhile the world falls to Kayblis
新魔王ビュートンが誕生する	and a new Demon King, Bhuton, is born
４ヶ月後	Four months later
ランス達は神々の国に降り立った	They set foot in the Land of the Gods
女神アリスと戦う	They fight the goddess Alice
女神アリスに全滅させられた	The goddess Alice wipes them out
世界に挑むにはまだ早すぎた	Too soon to challenge the world
その頃、ケイブリス	Meanwhile, Kayblis
派閥戦争の説明	The faction war explained
魔人ケイブリスと配下の者達	Fiend Kayblis and his followers
カミーラを探している	He is looking for Camilla
リトルプリンセスを探している	He is looking for Little Princess
その頃、魔物界	Meanwhile, in the demon world
大元帥ストロガノフの元で	Under Grand Marshal Stroganoff
マエリータ隊が結成される	the Maelita Squad is formed
魔人ケイブリスの貪欲な性欲	Fiend Kayblis's insatiable lust
多数の女達を犯し潰していく	He rapes and breaks countless women
ケイブワンが作戦失敗の報告	Kaybwan reports the plan's failure
ケイブリスが戦いに出ない訳	Why Kayblis does not go to battle
ケイブニャンが作戦失敗の報告	Kaybnyan reports the plan's failure
シャリエラを献上	He offers up Shariela
ストロガノフの秘密	Stroganoff's secret
いくつかの情報を得る	He gets a few pieces of news
人類軍の本拠地ランス城の場所	the location of Rance Castle
魔剣を持つランスという男の事	and Rance, who holds the magic sword
捉えているホーネットと会う	He visits his captive Hornet
使徒ケイコを陵辱する	He violates Apostle Keiko
カミーラにホーネットを捧げるが	He offers Hornet to Camilla
いらんと言われたので自分でヤリ殺す	she refuses, so he fucks her to death
ホーネットをヤリ殺す	He fucks Hornet to death
魔王美樹の隠れ場所を発見	He finds where Demon King Miki hides
美樹を殺して自分が魔王になる	kills Miki and becomes Demon King
勇者テオマンを殺す	and kills the hero Theoman
ランス城	Rance Castle
アコンカの花が咲く	The Aconca flower blooms
その後、人類は追い詰められ…	Humanity is driven into a corner...
ランスの前に魔王ケイブリスが現れる	Rance meets Demon King Kayblis
ランスは殺された	Rance is killed
魔王ケイブリスが世界の支配者となる	Demon King Kayblis rules the world
各国姫をケイブリスが陵辱	He violates the princess of every land
ランスはケイブリスを倒した	Rance defeated Kayblis
しかし…	But...
４つの主要地域を失い人類は敗北した	Four regions lost, humanity is beaten
魔人ワーグが戦いに加わった	Fiend Warg joins the battle
ケイブリスが人間征服後のプランを語る	Kayblis lays out his plan for humans
捕まえた魔王美樹の処刑を始める	He begins executing Demon King Miki
ヒラミレモン満載の部屋	A room packed with Hirami Lemons
魔王美樹への処刑は続く	The execution of Miki goes on
殴り、犯し、潰す	Beaten, raped, crushed
それでも、まだ死なない	and still she does not die
魔王美樹への処刑は続けている	The execution of Miki continues
魔王になった後の支配について語る	He talks of his rule as Demon King
魔王美樹はついに殴り殺された	Demon King Miki is beaten to death
そして魔王ケイブリスが誕生する	and Demon King Kayblis is born
その頃、大元帥ストロガノフ	Meanwhile, Grand Marshal Stroganoff
空飛ぶランス城が魔物界に侵入してきた事	The flying Rance Castle has entered
を知る	the demon world - and he knows
ランスが率いる魔人討伐隊が結成	Rance forms a Fiend-hunting squad
各地で魔人を倒すのが主任務	Its job: kill Fiends across the land
シィルはランスのサポート（秘書）	Sill supports Rance as his secretary
魔人サテラが戻ってきた	Fiend Satella comes back
各国の姫さんが自国へ戻る	The princesses return to their lands
魔軍が魔王を探している	The Monster Army hunts the King
ケイブリスが次の魔王になる為	so Kayblis can become the next one
ランスも魔王を探す指示を出す	Rance orders a hunt for the King too
各国代表が集まり会議	Envoys of every nation meet
保育園、ランスの子供達	The daycare, and Rance's children
シィルが動かなくなった、死んだ！	Sill has stopped moving - she's dead!
クルックーが魂を見つけ入れ直す	Crook finds her soul and puts it back
どこかの戦場で魔人ワークが現れる	Fiend Warg appears on a battlefield
眠らされる内に敗北する事件が続発	Armies keep losing while put to sleep
※発生地域別に内容若干変化	※Varies slightly by region
ランス城、参謀本部	Rance Castle, General Staff HQ
深夜まで働くウルザ、アールコート	Urza and Arlcoate work past midnight
魔軍を増援を止めないと危険	Their reinforcements must be stopped
クリームとフレイア	Cream and Freya
魔王の居場所はまだ分からない	The Demon King is still not found
４地域全部で魔軍を追いだした	All four regions are retaken
だが、まだこれからだ	but the real fight starts now
永久牢からカミーラを連れてきた	Camilla is out of the Eternal Prison
各地に魔軍が５万ずつ増援された	50,000 more troops to every region
空飛ぶランス城	The flying Rance Castle
飛行する魔物兵が襲ってきた	Flying monster soldiers attack
飛行魔物兵の数は少なく迎撃に成功	Few enough to shoot down; they hold
闘神ゼータはランス城から動けない	War God Zeta cannot leave the castle
ランス城に魔王が居る事を知る	They learn the King is in Rance Castle
大元帥ストロガノフはマエリータ隊に	Grand Marshal Stroganoff orders the
魔王奪取を命じる	Maelita Squad to seize the Demon King
マエリータ隊	The Maelita Squad
ランスが留守な時期を狙って	waits until Rance is away
空からランス城に上陸する	and lands on Rance Castle from the sky
見張りのクルーチェを倒し	They down the lookout, Krutche
城内へ侵入	and get inside the castle
城内に慎重に進む	They move carefully through the halls
あてな部隊と接触	They run into Athena's unit
ランス城司令部	Rance Castle command room
参謀達が魔軍の侵入に気が付く	The staff notice the intruders
彼らの目的は・・	Their goal is...
ランスの子、聖魔教団の遺産、魔王？？	Rance's child, the legacy, the King??
サーナキア部隊と接触	They run into Sanakia's unit
保育園に入る込む	They slip into the daycare
千姫と対峙するが戦わずに立ち去る	They face Senhime, then leave unfought
ビスケッタ部隊と接触	They run into Biscuitta's unit
剣豪が壁として残る	Kengo stays behind as a wall
魔王が見つからない焦りだす	The King is nowhere; they grow anxious
魔人健太郎と接触	They run into Fiend Kentarou
アパッチが壁として残る	Apache stays behind as a wall
魔王美樹を発見、捕獲する	They find Demon King Miki and take her
ランスが戻ってきた	Rance comes back
マエリータ隊と接触するが	He runs into the Maelita Squad
王様が壁となり逃げられてしまう	but King walls him off and they escape
その後、魔物界　ケイブリス	Later, Kayblis in the demon world
魔王を手に入れて有頂天で喜ぶ	He has the Demon King and is elated
マエリータ隊は邪魔なので解散を指示	Now a nuisance, the Squad is disbanded
その後、ランス城	Later, at Rance Castle
魔王が掠われた	The Demon King has been stolen
健太郎は取り乱す	Kentarou falls apart
満ち潮が発生した	The high tide comes in
大陸の周囲で水が発生	Water rises around the continent
各地の様子	How each region fares
満ち潮が消えた	The high tide is gone
大陸の周囲で水が退いていった	The water drains from the continent
その頃、パットン達	Meanwhile, Patton and company
別行動をしていたパットン達だが	They had gone their own way
芳しくない状況に陥っていた	but things had gone badly for them
魔人を含む３０万の大軍が攻めて来た	300,000 troops and Fiends attack
ランスは徹底抗戦を決める	Rance decides to fight to the last
圧倒的な不利な状況での防戦が続く	A hopeless defense drags on
ランスは魔人レッドアイに立ち向かった	Rance stands against Fiend RedEye
二日後…	Two days later...
重傷で意識を失っていたランスが起きた	Rance wakes from his wounds
ランス城での戦いは負けた	The battle for Rance Castle was lost
総統司令部	The Supreme Command HQ
世界各地の戦況が入って来ているが	Reports come in from around the world
魔軍優勢ばかりで状況は最悪に近い	all bad; the Monster Army has the edge
ＪＡＰＡＮに攻め込もうとしている魔軍	The Monster Army moves on JAPAN
ＪＡＰＡＮ軍と妖怪軍団と迎撃準備	JAPAN and the youkai army prepare
だが、一部妖怪の反乱で戦力半減	but a youkai revolt halves their force
ＪＡＰＡＮ、織田城	JAPAN, Oda Castle
ランス達が迎撃準備をしているが	Rance and the rest ready a defense
一部妖怪の反乱で戦力半減	but a youkai revolt halves the force
美樹の魔王化が近づいていた	Miki is close to becoming Demon King
その事を知ったケイブリスが焦り	Kayblis hears of it and panics
大量の魔軍が率いて攻めて来た	He attacks with a huge Monster Army
割り込みイベント	An interrupt event
ランスのひらめき	Rance has a flash of insight
　すっぽぬけイベント	The event fizzles out
勇者アリオスが襲ってくるが撃退	The hero Arios attacks and is beaten
勇者アリオスが襲ってくる２度目	The hero Arios attacks a second time
ミラクルが異界へ勇者を飛ばす	Miracle flings him into another world
勇者アリオスが襲ってくる３度目	The hero Arios attacks a third time
相打ちでランス死亡	They kill each other; Rance dies
死んだランスだが	Rance is dead
ウェンリーナーの力で助かる	but Wenlina's power saves him
※条件 ウェンリーナー大人	※Condition: adult Wenlina
クルックーが法王特典を使い助かる	Crook's papal privilege saves him
※条件 法王特典未使用	※Condition: privilege unused
ランス蘇らず…	Rance does not come back...
アリオスの恋人達の情報を得る	News of Arios's lovers turns up
その頃、アリオスとセシル	Meanwhile, Arios and Cecil
その頃、マエリータ隊	Meanwhile, the Maelita Squad
メンバー集めをしていた	They were gathering members
マエリータ隊との接触　１回目	Meeting the Maelita Squad - 1st
戦闘開始	The battle begins
マエリータ隊との戦闘後	After the fight with the Squad
学者は撤退していく	The Scholar pulls back
マエリータ隊との接触　２回目	Meeting the Maelita Squad - 2nd
ランスが卑怯な人質作戦	Rance pulls a dirty hostage trick
マエリータ隊との接触　３回目	Meeting the Maelita Squad - 3rd
新しく加わったアパッチがみんなと不仲	New recruit Apache fits in badly
ランスが卑怯な毒煙作戦をする	Rance pulls a dirty poison-smoke trick
彼らの中に少し不協和音	A little discord among them
マエリータ隊との接触　４回目	Meeting the Maelita Squad - 4th
剣豪、アパッチが裏切りランス側に付く	Kengo and Apache defect to Rance
剣豪、アパッチがマエリータ隊復帰	Kengo and Apache rejoin the Squad
マエリータ隊との接触　５回目	Meeting the Maelita Squad - 5th
ランスの卑怯作戦で双方穴に落ちる	A dirty trick drops both in a pit
一時、休戦して共同で脱出	A truce, and they climb out together
ハチ女集団との戦闘後	After the fight with the Bee Girls
なんとか地上に戻る	They just make it back up
今回は戦わずにマエリータ隊と別れる	They part without fighting this time
マエリータ隊との接触　６回目	Meeting the Maelita Squad - 6th
そろそろ決着を付けたい全力でいく	Time to settle it - no holding back
戦っている最中に魔物軍が乱入	The Monster Army barges in mid-fight
決着はつける事は出来ず	and nothing is settled
聖女モンスター ウェンリーナーを発見	Holy Gal Monster Wenlina is found
聖女モンスター セラクロラスを発見	Holy Gal Monster Serachrolas found
使徒アーシーと遭遇	They meet Apostle Arcy
英霊パセリと接触	They meet the heroic spirit Parsley
その頃、天界　クエルプラン	Meanwhile, Quelplan in Heaven
女神ＡＬＩＣＥとの会話	A talk with the goddess ALICE
ランスを呼び出すが抱かれてしまう	She summons Rance and gets bedded
女神ＡＬＩＣＥとの会話　２度目	A talk with ALICE - the second
大人状態で４人揃った聖女モンスター	All four Holy Gal Monsters, grown
赤色の円柱を拾う	A red cylinder is picked up
子供状態で４人揃った聖女モンスター	All four Holy Gal Monsters, small
青色の円柱を拾う	A blue cylinder is picked up
魔剣カオスと聖刀日光が	The magic sword Chaos and the holy
剣同士で会話	sword Nikkou talk to each other
少し前の出来事…	A little while before...
魔人サテラが仲間入りする経緯	How Fiend Satella came to join
ランスは使徒になる約束を適当にしている	Rance half-promises to be an apostle
フェリスを元気づけるランス	Rance cheers Feliss up
レベル神ウィリスを呼び出す	Level God Willis is summoned
見習いレベル神ミカンの事件	The trainee Level God Mikan case
一般の市民が魔改造	Ordinary citizens are made monsters
ランスとリアが電卓キューブへ…	Rance and Lia to the Calculator Cube
捕虜にしていたカチューシャが逃げた	The captive Katyusha escapes
闇社会がランスの敵になった	The underworld turns on Rance
その頃、魔人サイゼル	Meanwhile, Fiend Seizel
ランスの留守中に	While Rance is away
ハウゼルを助けに来たが喧嘩別れ	he comes for Hawzel and they quarrel
ハウゼル救出の為にランスを観察中	He watches Rance, to free Hawzel
ワンニャンに見つかり逃げる	Wan-nyan spot him and he runs
その頃、パットンとハンティ	Meanwhile, Patton and Hunty
どこかで聖魔教団の遺産を捜している	hunting the Holy Magic Sect's legacy
その頃、魔軍の偵察隊	Meanwhile, a Monster Army scout team
魔王美樹を探している	searching for Demon King Miki
その頃、美樹	Meanwhile, Miki
ランス城で留守番している	keeping house at Rance Castle
その頃、ルドラサウム	Meanwhile, Rudrasaum
その頃、ハニー達	Meanwhile, the Hannys
レンジャーに関する話題	Talk about Rangers
ガードに関する話題	Talk about Guards
ヒーラーに関する話題	Talk about Healers
その頃、翔竜山のＫＤ	Meanwhile, KD on Mount Shoryu
その頃、ホラガ	Meanwhile, Horaga
その頃、三菱王	Meanwhile, King Mitsubishi
その頃、バーナード	Meanwhile, Bernard
友アレキサンダーを捜している	looking for his friend Alexander
その頃、魔女リクチェル	Meanwhile, the witch Richelle
その頃、魔人ますぞえ	Meanwhile, Fiend Masuzoe
ケイブリスからの手紙が届く	A letter from Kayblis arrives
その頃、石の中のブリティシュ	Meanwhile, British inside the stone
ジュリアが遊びに来ている	Julia has come to visit
物知りハニーが難易度の説明	A wise Hanny explains the difficulty
その頃、ダークランス	Meanwhile, Dark Rance
戦争は終わった	The war is over
人類が魔軍に勝った	Humanity beat the Monster Army
カイズ地下	Beneath Kaiz
女神に謁見しているクルックー	Crook stands before the goddess
ランス城、戦勝記念パーティ	Rance Castle, the victory party
ランスがシィルの願いを聞く	Rance grants Sill's wish
バードが現れシィルを殺す	Bird appears and kills Sill
ランス城、夜	Rance Castle, night
美樹が魔王覚醒を始める	Miki starts to wake as Demon King
ホーネットが魔王引き継ぎを試すが	Hornet tries to take the crown, but
失敗	it fails
ミラクルが魔王引き継ぎを試すが	Miracle tries to take the crown, but
美樹の魔王化は止められない	Miki's turning cannot be stopped
健太郎が美樹を殺す決意をするが	Kentarou resolves to kill Miki
そこにランスが現れる	then Rance appears
ランスが魔王となる	Rance becomes the Demon King
魔王ランスと臣下達	Demon King Rance and his vassals
世界の女は全て俺の物	Every woman in the world is mine
手出し禁止	Hands off
ランス城内	Inside Rance Castle
ランスの世話はシィルの役目	Looking after Rance is Sill's job
キバ子、パステル、フロストバイン	Kibako, Pastel, Frostbain
サーナキア、カフェ等と会う	Sanakia, Cafe and others turn up
コパンドンの裏方活躍	Copandon works behind the scenes
戦時補給	Wartime supply
その頃、クルックー	Meanwhile, Crook
女神アリスに謁見	An audience with the goddess Alice
ランス城、サテラの部屋	Rance Castle, Satella's room
敵魔人の説明	The enemy Fiends explained
ホーネットとサテラの関係	Hornet and Satella's history
美樹とホーネットの関係	Miki and Hornet's history
ケイブリスを倒したら抱かせて貰う	Beat Kayblis and he gets to bed her
そういう約束をランスは得る	Rance gets that promise out of her
ランス城、美樹の部屋	Rance Castle, Miki's room
美樹とミラクルの会話	Miki and Miracle talk
美樹の故郷は異界スチールホラー	Miki's home is Steel Horror
戦争開始前にコパンドンが	Before the war, Copandon built
ランスの為に作った船団をどうするか…	Rance a fleet - what to do with it...
その船団は俺がいつか冒険する為に使う	That fleet is for my own adventures
船団は戦争用に転用された	The fleet is turned to war use
年越し、お正月	New Year's Eve and New Year's Day
年越しそば、宴会、初日の出、お年玉	Noodles, a feast, sunrise, gift money
朝１０時までの出来事	Everything up to 10 in the morning
魔物界、上陸地点	The demon world, the landing point
上陸直後の初めての夜…	The first night after landing...
その夜はシィルを抱く	That night he beds Sill
その夜は相棒カオスと語る	That night he talks with Chaos
その夜はサテラを抱く	That night he beds Satella
アギレダと大陸の端で瓶を捨てる	He dumps Agireda's jar off the edge
アマゾンパワーを得る	He gains Amazon Power
そして朝になった	And morning came
行列がある、しからば並ぼう	A queue - so let's join it
シィルの手作り勲章	A medal Sill made by hand
ランスの目標	Rance's goal
絶滅危惧種女の子モンスターを脱がす	Strip the endangered girl monsters
ベゼルアイに捕獲スキルを貰う	Bezeleye grants a capture skill
カフェ、日光、カオスのお茶会	A tea party: Cafe, Nikkou, Chaos
元盗賊団のアジトで石に埋まったままの	In an old bandit hideout, still
英雄ブリティシュ	sunk in stone: the hero British
ハニーキングがジュリアを改造する	The Hanny King remodels Julia
レイラ、チルディより強い	Stronger than Leila or Tilde
ケッセルリンクが元女と言う事を知り	Kesselring was once a woman
ランスは復活を許可する	so Rance allows the revival
ハニーが増えてきた	The Hannys are multiplying
ハニーが軍団を結成した	The Hannys form a corps
メイド達が政宗の話題	The maids gossip about Masamune
ランスは政宗がモテるのが納得いかない	Rance can't accept how popular he is
